"","x"
"1","ACAA2"
"2","ECHS1"
"3","HADHA"
"4","HADHB"
"5","HADH"
"6","MECR"
"7","PPT1"
"8","PPT2"
"9","NAT2"
"10","CYP1A2"
"11","CYP2A6"
"12","CYP2A7"
"13","CYP2A13"
"14","XDH"
"15","NAT1"
"16","PLA2G4B"
"17","PLA2G4E"
"18","PLB1"
"19","CYP3A7"
"20","CYP2C19"
"21","CYP2C8"
"22","CYP2C9"
"23","CYP2C18"
"24","CYP2E1"
"25","CYP2J2"
"26","CYP3A4"
"27","CYP3A5"
"28","ALOX15"
"29","PLA2G2D"
"30","PLA2G2E"
"31","PLA2G2C"
"32","PLA2G3"
"33","PLA2G1B"
"34","PLA2G2A"
"35","PLA2G4A"
"36","PLA2G5"
"37","AKR1B10"
"38","PLA2G2F"
"39","CYP3A43"
"40","PLA2G12A"
"41","PLA2G6"
"42","PLA2G10"
"43","PLA2G12B"
"44","JMJD7-PLA2G4B"
"45","PSAT1"
"46","AOX1"
"47","PHOSPHO2"
"48","PNPO"
"49","PDXP"
"50","PDXK"
"51","RNASEH2A"
"52","POLD3"
"53","DNA2"
"54","FEN1"
"55","POLA2"
"56","RNASEH1"
"57","RPA4"
"58","LIG1"
"59","MCM2"
"60","MCM3"
"61","MCM4"
"62","MCM5"
"63","MCM6"
"64","MCM7"
"65","PCNA"
"66","POLE3"
"67","POLA1"
"68","POLD1"
"69","POLD2"
"70","POLE"
"71","POLE2"
"72","PRIM1"
"73","PRIM2"
"74","POLE4"
"75","POLD4"
"76","RFC1"
"77","RFC2"
"78","RFC3"
"79","RFC4"
"80","RFC5"
"81","RPA1"
"82","RPA2"
"83","RPA3"
"84","SSBP1"
"85","RNASEH2B"
"86","RNASEH2C"
"87","SEC61B"
"88","SEC63"
"89","IMMP1L"
"90","SEC11A"
"91","SEC61G"
"92","SPCS1"
"93","SEC61A1"
"94","HSPA5"
"95","OXA1L"
"96","SEC61A2"
"97","SRPRB"
"98","SPCS3"
"99","SRP9"
"100","SRP14"
"101","SRP19"
"102","SRP54"
"103","SRP68"
"104","SRP72"
"105","SRPRA"
"106","SEC62"
"107","IMMP2L"
"108","SEC11C"
"109","SPCS2"
"110","CDK2"
"111","DBF4"
"112","ORC6"
"113","ORC3"
"114","ORC1"
"115","ORC2"
"116","ORC4"
"117","ORC5"
"118","GMNN"
"119","MCM10"
"120","UBA52"
"121","UBC"
"122","CDT1"
"123","CDC7"
"124","CDC45"
"125","CDC6"
"126","CHRM1"
"127","CHRM2"
"128","CHRM3"
"129","CHRM4"
"130","CHRM5"
"131","ADRA1D"
"132","ADRA1B"
"133","ADRA1A"
"134","ADRA2A"
"135","ADRA2B"
"136","ADRA2C"
"137","ADRB1"
"138","ADRB2"
"139","ADRB3"
"140","DRD1"
"141","DRD2"
"142","DRD3"
"143","DRD4"
"144","DRD5"
"145","HRH1"
"146","HRH2"
"147","HTR1A"
"148","HTR1B"
"149","HTR1D"
"150","HTR1E"
"151","HTR1F"
"152","HTR2A"
"153","HTR2B"
"154","HTR2C"
"155","HTR4"
"156","HTR5A"
"157","HTR6"
"158","HTR7"
"159","CYP1A1"
"160","CYP1B1"
"161","CYP2D6"
"162","FMO1"
"163","FMO3"
"164","UGT1A10"
"165","UGT1A8"
"166","UGT1A4"
"167","SULT1E1"
"168","SULT1A1"
"169","SULT2A1"
"170","UGT2B7"
"171","ACY1"
"172","CPA1"
"173","CPA2"
"174","CPA4"
"175","CPA5"
"176","CPA6"
"177","CPB1"
"178","CPB2"
"179","CPO"
"180","CELA3B"
"181","PITRM1"
"182","DAD1"
"183","DDOST"
"184","EDEM1"
"185","INS"
"186","NOX4"
"187","RPN1"
"188","RPN2"
"189","SLC30A5"
"190","SLC30A6"
"191","SLC30A7"
"192","SSR1"
"193","SSR2"
"194","SSR3"
"195","SSR4"
"196","STT3A"
"197","STT3B"
"198","TRAM1"
"199","TRAM2"
"200","ATXN7"
"201","CRX"
"202","DLX3"
"203","DLX4"
"204","EMX2"
"205","EN1"
"206","EN2"
"207","GBX2"
"208","HESX1"
"209","HOXA10"
"210","HOXC5"
"211","HOXC6"
"212","OTX1"
"213","OTX2"
"214","PAX7"
"215","PITX2"
"216","PROP1"
"217","RAX"
"218","APEX2"
"219","ATRIP"
"220","HDGF"
"221","HUS1"
"222","RAD1"
"223","RAD17"
"224","RAD9A"
"225","RAD9B"
"226","SEC23IP"
"227","TCEAL1"
"228","UNG"
"229","CACNA1A"
"230","CACNA1B"
"231","CACNA1C"
"232","CACNA1D"
"233","CACNA1E"
"234","CACNA2D1"
"235","CACNA2D2"
"236","CACNA2D3"
"237","CACNA2D4"
"238","CACNB1"
"239","CACNB2"
"240","CACNB3"
"241","CACNB4"
"242","CACNG1"
"243","CACNG2"
"244","CACNG3"
"245","CACNG4"
"246","CACNG5"
"247","CACNG6"
"248","CACNG7"
"249","CACNG8"
"250","RASGRF1"
"251","RASGRF2"
"252","RASGRP2"
"253","RASGRP3"
"254","RASGRP4"
"255","CAPRIN1"
"256","CPSF6"
"257","HNRNPA1P6"
"258","HNRNPA1P7"
"259","NONO"
"260","PSPC1"
"261","RALY"
"262","RBM14"
"263","SAFB"
"264","SFPQ"
