"","x"
"Fatty acid biosynthesis (KEGG)",1
"Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)",1
"Caffeine metabolism (KEGG)",1
"Vitamin B6 metabolism (KEGG)",1
"Non-homologous end-joining (KEGG)",1
"Regulation of autophagy (KEGG)",2
"Phase I, non P450 (Wikipathways)",2
"BMP signalling and regulation (Wikipathways)",2
"Serotonin Transporter Activity (Wikipathways)",1
"Nicotine metabolism (Wikipathways)",3
"Codeine and morphine metabolism (Wikipathways)",2
"Th1/Th2 (Wikipathways)",4
"Cell cycle (Wikipathways)",1
"Homologous recombination (Wikipathways)",1
"Irinotecan Pathway (Wikipathways)",2
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",3
"Non-homologous end joining (Wikipathways)",1
"DNA Replication (Wikipathways)",1
"Complement Activation, Classical Pathway (Wikipathways)",2
"Biogenic Amine Synthesis (Wikipathways)",2
"Benzo(a)pyrene metabolism (Wikipathways)",1
"Nucleotide GPCRs (Wikipathways)",2
"DNA Replication (Reactome)",1
"IL-3 down reg. targets (Netpath)",1
"{ASH2L,391} (Static Module)",3
"{BRCA1,28} (Static Module)",1
"{CDC2,351} (Static Module)",1
"{FCGR2B,50} (Static Module)",2
"{HMGB1,14} (Static Module)",1
"{MLH1,20} (Static Module)",1
"{MLLT4,12} (Static Module)",2
"{MMP9,11} (Static Module)",3
"{NRP1,11} (Static Module)",4
"{RAD21,11} (Static Module)",1
"{RAD51,13} (Static Module)",2
"{ROCK1,10} (Static Module)",1
"{SEPT2,21} (Static Module)",1
"{SHH,13} (Static Module)",3
