"","x"
"Fatty acid elongation in mitochondria (KEGG)",1
"Valine, leucine and isoleucine biosynthesis (KEGG)",2
"DNA replication (KEGG)",2
"Proteasome (KEGG)",1
"Protein export (KEGG)",1
"Graft-versus-host disease (KEGG)",1
"Phase I, non P450 (Wikipathways)",3
"Nicotine metabolism (Wikipathways)",3
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",3
"Non-homologous end joining (Wikipathways)",1
"DNA Replication (Wikipathways)",2
"Mismatch repair (Wikipathways)",2
"Biogenic Amine Synthesis (Wikipathways)",3
"Heme Biosynthesis (Wikipathways)",3
"Oxidative phosphorylation (Wikipathways)",1
"Aflatoxin B1 metabolism (Wikipathways)",3
"Methylation Pathways (Wikipathways)",3
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (Reactome)",1
"{ATP5D,19} (Static Module)",4
"{BCLAF1,25} (Static Module)",2
"{CYCS,35} (Static Module)",1
"{EPRS,15} (Static Module)",2
"{HSP90B1,11} (Static Module)",1
"{INS,35} (Static Module)",1
"{KCNB1,10} (Static Module)",3
"{NDUFS8,49} (Static Module)",1
"{ROCK1,10} (Static Module)",4
"{SFPQ,10} (Static Module)",1
"{SPTAN1,10} (Static Module)",3
"{STX5,12} (Static Module)",1
"{SUMO1,12} (Static Module)",1
"{TIA1,10} (Static Module)",2
