"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Taurine and hypotaurine metabolism (KEGG)",-0.335239421076555,-1.09665052996038,-12.5803411429804,1.2729742544025e-22,8.05792703036782e-20,40.9360671913445
"Ascorbate and aldarate metabolism (KEGG)",-0.244302457842591,-1.12703249782569,-10.8177239398036,9.94902796211829e-19,3.14886735001044e-16,32.1048594758318
"Cyanoamino acid metabolism (KEGG)",-0.344976791048249,-1.0741159460047,-9.87426528963716,1.27588543723743e-16,2.69211827257097e-14,27.3216103409362
"TOR signaling (Wikipathways)",0.179689028507345,0.240872472920997,9.70659268967338,3.02463139187354e-16,4.78647917763988e-14,26.4711975500335
"{TCF3,20} (Static Module)",-0.299958149971314,-0.938171905961642,-9.37659713516279,1.65105137103064e-15,2.0902310357248e-13,24.7993212073941
"Codeine and morphine metabolism (Wikipathways)",0.277838631467883,-1.59630170777189,9.01554755222165,1.05268909944271e-14,1.11058699991206e-12,22.9750342864165
"{RAB5A,41} (Static Module)",0.147163222323387,1.23969910970235,8.74790307290823,4.13704921553715e-14,3.74107450490716e-12,21.627771664202
"{ARF1,36} (Static Module)",0.174653474605284,0.91585320366889,8.62068698559902,7.91466029322583e-14,6.26247495701494e-12,20.9893521139481
"Angiogenesis (Wikipathways)",-0.140830632534969,-0.421769490996623,-8.51493898179265,1.35576020266353e-13,9.53551342540015e-12,20.4597799424303
"Monoamine GPCRs (Wikipathways)",-0.138705683741121,-2.15007384617288,-8.44681356057612,1.91662605888444e-13,1.21322429527385e-11,20.1191970635691
"Glycine, serine and threonine metabolism (KEGG)",0.158539221583214,-1.2450007627185,8.2432457509458,5.37792239512601e-13,3.09474988737706e-11,19.1044746852806
"{PTPRF,10} (Static Module)",0.230552939477885,-1.3633396403983,8.06839449306552,1.29981032736126e-12,6.85649947683064e-11,18.236867974054
"{RXRA,51} (Static Module)",0.136207380313787,-0.409130228433578,7.6981584217072,8.31085584540112e-12,4.04674750010686e-10,16.4140403597054
"GPCRs, Class A Rhodopsin-like (Wikipathways)",-0.108812448886273,-1.47511136441666,-7.47294937834929,2.5427677471479e-11,1.14969427424616e-09,15.3162827696637
"{PRKCA,14} (Static Module)",0.12508569737683,-1.17098148944834,7.44079096992498,2.98089280768021e-11,1.25793676484105e-09,15.1602932411982
"Retinol metabolism (KEGG)",-0.114668843835056,-1.64559012250702,-7.41462500175005,3.39204114983165e-11,1.34197627990215e-09,15.0335187872383
"PPAR signaling pathway (KEGG)",0.103255387039451,-0.919294104808556,7.34737698591458,4.72527403029846e-11,1.75946968304643e-09,14.7083226678131
"Folate Metabolism (Wikipathways)",-0.151137015416575,-0.466095561634564,-7.27273387849135,6.8200422862217e-11,2.27215093009386e-09,14.348443034551
"{CDK5,14} (Static Module)",-0.30177590076552,1.66702764800028,-7.15928796975372,1.18869547812626e-10,3.7622211882696e-09,13.803745318657
"Type I diabetes mellitus (KEGG)",-0.227600108141607,0.306879070835374,-6.99818772190501,2.60431908700476e-10,7.85016181940006e-09,13.0351999249012
"Prostaglandin Synthesis and Regulation (Wikipathways)",0.175683752595497,0.235627784217608,6.9334474534688,3.56349990013751e-10,1.02531610763047e-08,12.728076895808
"Primary bile acid biosynthesis (KEGG)",-0.15779806530879,-1.49526499288371,-6.83524847549016,5.72314297205096e-10,1.57510847882968e-08,12.2642118871607
"ID up reg. targets (Netpath)",-0.260451581568525,0.354514784987737,-6.78339198755181,7.34320958942345e-10,1.93677152921043e-08,12.0202514569838
"Monoamine Transport (Wikipathways)",0.154195550856177,-0.695366057819205,6.71978224731756,9.96044691550086e-10,2.52198515900482e-08,11.7219662005659
"EGFR1 down reg. targets (Netpath)",-0.12936798739321,0.338598711491843,-6.66929026912853,1.26780752240614e-09,3.0866236987811e-08,11.4859719189511
"GP-VI signaling (Wikipathways)",0.277206265939127,1.06047417062565,6.62232359433893,1.58582703979348e-09,3.7178833932936e-08,11.2670865232064
"{RAD21,11} (Static Module)",0.300398429184416,-0.212798725572198,6.53524765067275,2.3977131988102e-09,5.42054448159593e-08,10.8629270942954
"Phenylalanine metabolism (KEGG)",0.166035765270237,-0.867026840607348,6.35957087953444,5.48600248355224e-09,1.15754652402952e-07,10.05434540404
"Autoimmune thyroid disease (KEGG)",-0.183508010946375,-0.352574638570777,-6.25911019645298,8.77138106887112e-09,1.7910594247082e-07,9.59625331055101
"Fatty Acid Beta Oxidation (Wikipathways)",0.134392046117236,0.69667613630853,5.92220531691189,4.13585018802867e-08,8.18122865319422e-07,8.08464556368167
"Asthma (KEGG)",-0.249994269616087,-0.363920297034171,-5.9058940150864,4.4540909826726e-08,8.30668227103235e-07,8.01247899210815
"Striated Muscle Contraction (Wikipathways)",0.194383996165634,-1.01406882835659,5.90551696852936,4.46172507448815e-08,8.30668227103235e-07,8.0108119729128
"Intestinal immune network for IgA production (KEGG)",-0.236693524820445,-0.249414668440644,-5.85173117401379,5.69345040038725e-08,1.02970117241289e-06,7.77355219540331
"Rheumatoid arthritis (KEGG)",-0.113009346457327,0.240292011397666,-5.764142963118,8.44962834502402e-08,1.48572631733339e-06,7.38952044598856
"Allograft rejection (KEGG)",-0.226641548456204,0.587842181988065,-5.73697284620031,9.54514244536012e-08,1.63299328862512e-06,7.27099255523257
"Serotonin Transporter Activity (Wikipathways)",0.339367034427572,-0.654608731649959,5.64646580488096,1.42987564037286e-07,2.36562444248862e-06,6.87825811705857
"Fatty Acid Biosynthesis (Wikipathways)",0.115515087529056,0.958410744081274,5.61129653595697,1.67163583729687e-07,2.6453637125223e-06,6.72653413836845
"{HCLS1,17} (Static Module)",-0.255412508401518,2.92160010705626,-5.35411062755482,5.1631096554961e-07,7.60057770216054e-06,5.63270014557012
"Cell adhesion molecules (CAMs) (KEGG)",-0.100823992364144,-0.408694065471214,-5.28301070391066,7.01877002020716e-07,9.87306982842474e-06,5.33536830089146
"Urea cycle and metabolism of amino groups (Wikipathways)",0.172569650464154,-0.186916289102327,5.20854222420312,9.65912116636485e-07,1.30089865921467e-05,5.02639974671638
"{CBX4,10} (Static Module)",-0.181386620288256,0.416264737544806,-5.19911268881824,1.00559717867136e-06,1.32613127937286e-05,4.98745837876127
"Primary immunodeficiency (KEGG)",-0.216656543307678,0.722253761965033,-5.17837268277428,1.09856638945127e-06,1.41916841739317e-05,4.90195306079163
"Mitochondrial LC-Fatty Acid Beta-Oxidation (Wikipathways)",0.244225804048667,0.799374273023738,5.14378458624751,1.27259195626121e-06,1.61110141662669e-05,4.75980270500042
"Acetylcholine Synthesis (Wikipathways)",0.222553458114605,-0.372607971173699,5.10005157448463,1.53147805387139e-06,1.86428001557805e-05,4.58087610126897
"Heme Biosynthesis (Wikipathways)",0.458245666844194,0.658800198650137,5.02727053870377,2.08031904533137e-06,2.43859621424955e-05,4.2851332580196
"{NFIC,21} (Static Module)",0.127832808491202,-1.30572269685708,5.01045727407691,2.23208899533666e-06,2.54678109713728e-05,4.21717834401149
"MAPK Cascade (Wikipathways)",0.124636925230284,0.88764562353425,5.00822040248571,2.2530764840393e-06,2.54678109713728e-05,4.20814790118548
"{SPI1,10} (Static Module)",0.158783322081313,1.54007560638751,4.93541199379474,3.05158857835624e-06,3.27399249169407e-05,3.91556190484864
"{RB1,11} (Static Module)",0.18854523685315,1.19008922209067,4.92102642206039,3.2391526813569e-06,3.41730607883153e-05,3.85806445683644
