"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sulfation Biotransformation Reaction (Wikipathways)",0.419339768965981,-0.140639266669295,17.033998665571,1.1555610319275e-35,3.65735066605055e-33,70.5710547958066
"Glutathione metabolism (Wikipathways)",0.492700963948643,0.51996964234828,16.3852585948114,4.16419465559864e-34,5.27187043398788e-32,67.0026626426112
"Aminoacyl-tRNA biosynthesis (KEGG)",-0.495168512847307,0.617027981826479,-16.1438882914993,1.59964040315181e-33,1.68762062532516e-31,65.6627445906508
"{ETS1,13} (Static Module)",0.442848321601209,-0.163469595407375,15.9061762483835,6.05862362945232e-33,5.47872679634759e-31,64.336844813972
"{USF1,13} (Static Module)",0.601499826034097,0.0130339756391501,15.4400431528946,8.39579698400391e-32,5.90504387874941e-30,61.7193407680294
"Signaling by Notch (Reactome)",0.410136296892542,0.749292538874768,14.6055907124782,9.80427145847097e-30,3.44783546289563e-28,56.9793901978744
"{ASH2L,391} (Static Module)",-0.862773434232345,-1.53049722938571,-14.5714363768476,1.19298184029061e-29,3.97451318370504e-28,56.7840042526405
"Selenocompound metabolism (KEGG)",-0.494794611985578,-0.474122131831057,-14.5275109771673,1.53566983619685e-29,4.86039503156302e-28,56.5325709594045
"IL-1 Signaling Pathway (Wikipathways)",0.574589804121926,1.28163499187572,12.7886219327752,3.78904111260031e-25,6.14990519045128e-24,46.4636572278066
"Ribosome biogenesis in eukaryotes (KEGG)",-0.516902551905788,0.526603011864947,-12.3386473267418,5.33748525086779e-24,7.5080625862207e-23,43.8309889582741
"ID up reg. targets (Netpath)",0.554292885647342,0.0823744071509541,12.0894609621471,2.31616115472534e-23,2.96659878584692e-22,42.3704761095073
"Mitochondrial Gene Expression (Wikipathways)",-0.549759055987584,-0.00854311629973699,-12.0226700104734,3.43347122983949e-23,4.10073073299698e-22,41.9787903673859
"Arylamine metabolism (Wikipathways)",0.605958639737305,0.99009598662626,11.9492493224964,5.29310993241341e-23,5.98310462003159e-22,41.5481463649932
"BMP signalling and regulation (Wikipathways)",-0.619128361641613,-1.29887520477588,-11.227694139291,3.73284801176284e-21,3.15052372192783e-20,37.3149506829565
"{MLH1,20} (Static Module)",-0.601891344546456,-0.323616656200462,-10.9250624823387,2.221803525869e-20,1.71512394131107e-19,35.5415169633795
"Caffeine metabolism (KEGG)",0.78425735693717,-0.525938159602941,10.8899445849328,2.73234666201186e-20,2.08382582777531e-19,35.3359038360626
"Vitamin B6 metabolism (KEGG)",-0.573167461102531,-0.334992351087643,-9.99772017712922,5.13510838101364e-18,2.87656956210764e-17,30.1337070142521
"Signaling by BMP (Reactome)",-0.487181620903151,-1.17666469668884,-9.62153982530802,4.59180729434034e-17,2.23585693639803e-16,27.9590644768024
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis (KEGG)",-0.410008506743784,0.219367546816322,-9.18228130155486,5.81650342109866e-16,2.52181278462702e-15,25.4405186908097
"Fatty acid biosynthesis (KEGG)",0.452333935128178,0.182587094003591,9.12634231924119,8.02278069966194e-16,3.43136498843649e-15,25.1216790160392
"{PCNA,34} (Static Module)",-0.463488600889874,0.449321804690209,-9.09906636643755,9.3833137658127e-16,3.95975840917296e-15,24.9663822468567
"Non-homologous end joining (Wikipathways)",-0.703898538402328,0.104810581957871,-8.75426472545914,6.73256655857548e-15,2.59860648266968e-14,23.0135706609465
"Non-homologous end-joining (KEGG)",-0.453068537587576,0.171444733861106,-8.26217538311909,1.08184368005171e-13,3.76267609600402e-13,20.2646121415744
"{RAD51,13} (Static Module)",-0.404843832125235,-1.14267308719673,-7.63699985101608,3.41961131017747e-12,9.97517953613981e-12,16.8516225697185
"{BRCA1,28} (Static Module)",-0.417210686115356,-0.208035317592993,-7.33298679950956,1.76859780528853e-11,4.74373902859169e-11,15.2303784037021
