"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"{RPS27A,138} (Static Module)",4.81541762499691,-1.3039011366712,40.9469048860375,3.92638920535889e-77,2.48540436699218e-74,165.791094521608
"Influenza Infection (Reactome)",4.18047997764959,-1.07335638509522,39.7886374926547,1.32868026033885e-75,4.20527302397245e-73,162.276347800332
"Cytoplasmic Ribosomal Proteins (Wikipathways)",5.48224615445254,-1.46839790614999,39.1158590143777,1.06954804706358e-74,2.25674637930415e-72,160.194089889626
"Ribosome (KEGG)",5.69874506587885,-1.54514155462537,37.4577110151591,2.08318846199932e-72,3.29664574111392e-70,154.928606253833
"Metabolism of proteins (Reactome)",2.5488567429314,-0.59050638462609,31.1141777346754,8.29348151640948e-63,8.74962299981201e-61,132.821891430433
"Gene Expression (Reactome)",2.47980540851168,-0.735068760599675,30.1699310384386,2.99094598866418e-61,2.70466972974918e-59,129.232785617028
"Regulation of beta-cell development (Reactome)",3.51987772319231,-1.29487916100571,28.6178080212154,1.30622122423628e-58,9.18708927712851e-57,123.145272675185
"{GNAT3,28} (Static Module)",-3.67732081949789,-0.800413511856106,-27.0143228587544,9.00801507429256e-56,5.18370322002472e-54,116.598196817964
"Translation Factors (Wikipathways)",3.05752862200658,-0.848277594777515,26.9577319225436,1.14013077935099e-55,6.0141898610765e-54,116.362153899713
"Steroid hormone biosynthesis (KEGG)",-2.54965683719392,-0.372792272791189,-26.4915971929799,8.04459424568918e-55,3.63730582680089e-53,114.40464770768
"{TIA1,10} (Static Module)",3.59114037113733,-0.990674980125376,25.0975244640951,3.20114394946851e-52,1.35088274667571e-50,108.406340806574
"{MMP9,11} (Static Module)",-2.43537609783858,0.418201158428835,-25.0399947724772,4.11749159795135e-52,1.6289826134395e-50,108.154073012293
"{DNM1,22} (Static Module)",-2.74192047916248,-0.390740568721988,-24.5543534499439,3.5003276584393e-51,1.30335729870122e-49,106.009281200504
"Th1/Th2 (Wikipathways)",-2.99783056283843,-1.11359718571699,-24.0638343169679,3.12599531040761e-50,1.09930835082668e-48,103.814976602119
"Primary immunodeficiency (KEGG)",2.50723232646162,-1.20961828612864,23.4377118823003,5.32883713865364e-49,1.77534416250934e-47,100.972603647644
"Complement and Coagulation Cascades (Wikipathways)",-2.23757245509753,0.420942274395544,-23.3870899439574,6.71578877032832e-49,2.12554714580891e-47,100.740745707371
"Complement and coagulation cascades (KEGG)",-2.16617698260071,0.347992490859042,-23.1609737670018,1.89443660277676e-48,5.45081077071678e-47,99.7013141120431
"{SIX3,11} (Static Module)",-3.07386330778504,-0.173145509489801,-22.4048931062634,6.35308769067715e-47,1.74848022095593e-45,96.1805044536548
"{POLR2A,195} (Static Module)",2.47862239442204,-0.705942419636638,20.8095568658123,1.32511556476666e-43,2.99570768749034e-42,88.5193714146954
"mRNA processing (Wikipathways)",2.61863345637321,-0.44429367570376,20.4153348586334,9.20016128746768e-43,1.94123403165568e-41,86.5770101810994
"Steroid Biosynthesis (Wikipathways)",-2.19115168818051,-0.566382741431503,-20.124154391024,3.89803869381358e-42,7.95954352639998e-41,85.1297260690747
"{CNGB1,17} (Static Module)",-2.80963488615287,-0.678232615376447,-19.8974426991408,1.20861717193752e-41,2.39079584323891e-40,83.9954467978226
"{EPRS,15} (Static Module)",3.74934731541153,-1.32393898906466,19.8063988936257,1.9073885214213e-41,3.5511086295873e-40,83.5381069103502
"Spliceosome (KEGG)",2.7455074396795,-0.498428600810266,19.5433387812111,7.17019051844203e-41,1.26075849949272e-39,82.2107828619023
"HIV Infection (Reactome)",2.08527088262937,-0.194165320271252,19.3448705021766,1.95853169798814e-40,3.26250148638551e-39,81.2035767157926
"GP-VI signaling (Wikipathways)",2.12434993958721,-0.333438431928175,19.1112928858722,6.43132228185854e-40,1.0438530780555e-38,80.0118203936887
"mRNA Processing (Reactome)",2.34226674338844,-0.58977348568921,19.0941090321923,7.02112584763117e-40,1.11109316538763e-38,79.9238733681667
"Base excision repair (KEGG)",2.25493899614857,-0.830296291402868,18.9703187882698,1.32251005925525e-39,2.04182650611847e-38,79.2892150559545
"{PRKCA,14} (Static Module)",-2.02919193155097,0.191465556384633,-18.9393116472119,1.5502823894654e-39,2.28215988960836e-38,79.129942844684
"RNA transport (KEGG)",2.19861127564221,-0.872188151007193,18.7811689960008,3.49303638665817e-39,5.02520916535141e-38,78.3157419965567
"Complement Activation, Classical Pathway (Wikipathways)",-2.81357638799961,0.47007118723801,-18.3485933417167,3.27478545073044e-38,4.41050891555823e-37,76.072605879176
"Aminoacyl-tRNA biosynthesis (KEGG)",2.38327869359897,-1.17789094376332,18.1400430407281,9.71442133343866e-38,1.25494463348299e-36,74.9828270870354
"Olfactory transduction (KEGG)",-2.61220481442274,-0.479780649067903,-18.1298148600246,1.02479679431768e-37,1.29739274160619e-36,74.9292409984667
"Ribosome biogenesis in eukaryotes (KEGG)",2.12939390722688,-1.24591652878713,17.9052664032416,3.32540994428857e-37,4.12742057791111e-36,73.7495613534826
"Metabolism of RNA (Reactome)",2.19080407345074,-0.286524593130276,17.7379718610419,8.0254101994392e-37,9.4075641782315e-36,72.8666367596178
"{CTNNB1,130} (Static Module)",-2.22589836081516,-0.68961116528539,-17.6951185962887,1.00627859820033e-36,1.15813518665602e-35,72.639920320214
"{EXOSC10,15} (Static Module)",2.19337114385588,-0.877652899046983,17.4163144128963,4.40883685066212e-36,4.81171332149849e-35,71.1594424157006
"{CHRNA1,13} (Static Module)",-2.51247465909768,-0.077851107958909,-17.0166544646828,3.7255491473143e-35,3.68480095351555e-34,69.0208794129162
"Primary bile acid biosynthesis (KEGG)",-2.03627595367878,-0.423730491608743,-16.942256677792,5.55452835705864e-35,5.40925607695095e-34,68.6206817090649
"{HCLS1,17} (Static Module)",2.69589866822995,0.471109914859131,16.8545027023174,8.90452545262614e-35,8.54024941138235e-34,68.1478008576442
"Valine, leucine and isoleucine biosynthesis (KEGG)",2.62643160396465,-0.932873047815965,16.7227320877326,1.81185931627556e-34,1.68662786353299e-33,67.4360332739137
"{CDK5,14} (Static Module)",2.06825616846936,0.00832199140664322,16.6513467008261,2.66457906896582e-34,2.40954078665052e-33,67.0495964135223
"{NRP1,11} (Static Module)",-2.64480214958385,-1.03289154713939,-16.2746075291592,2.06012363442117e-33,1.60994846986247e-32,65.0004639697583
"Taste transduction (KEGG)",-2.03295625044098,-0.542149907168088,-15.8874340243431,1.71422138110444e-32,1.24724383245875e-31,62.8779523333057
"{MLLT4,12} (Static Module)",-2.32101332537637,0.38761809591422,-15.753481055,3.58185921816198e-32,2.54754706190622e-31,62.1397910325419
"Blood Clotting Cascade (Wikipathways)",-2.20636581178911,-0.0258459815590856,-15.7337778062506,3.99259709430677e-32,2.80812662299576e-31,62.0310514657996
"Neuroactive ligand-receptor interaction (KEGG)",-2.00859730462777,-0.329744535474277,-15.6476121813426,6.42172616739536e-32,4.41842680865355e-31,61.5550285512757
"Nucleotide excision repair (KEGG)",2.00903269868182,-0.660311724318255,15.5522753153965,1.08747854547161e-31,7.32312680088862e-31,61.0274230683656
"Fatty acid elongation in mitochondria (KEGG)",2.86713361664222,-0.272686411444697,15.4898150074426,1.53648328063231e-31,1.02378307014764e-30,60.6812434777643
"Mismatch repair (Wikipathways)",3.25387195310634,-1.58755911097749,15.3469365878418,3.3929004431286e-31,2.19153671479633e-30,59.8878349965448
"Maturity onset diabetes of the young (KEGG)",-2.38033595901885,-0.497012505774351,-15.1371556304585,1.08988084242734e-30,6.89894573256503e-30,58.7191488889226
"TCA Cycle (Wikipathways)",2.07917404329789,-0.403842210935319,15.0377216583366,1.89793048121019e-30,1.16639805301558e-29,58.1636709639362
"{OTX2,18} (Static Module)",-2.31599498530475,-0.566513096559915,-14.1062705721312,3.58817150398362e-28,1.8317036790497e-27,52.9154541469709
"Monoamine GPCRs (Wikipathways)",-2.44000157597135,-0.6037235714447,-14.0872465212287,3.9968993367183e-28,2.02402982411415e-27,52.8074766158276
"Mismatch repair (KEGG)",2.26056479818927,-0.889518062468678,14.039526369543,5.2396256049659e-28,2.61156142357749e-27,52.5364959907519
"{BCLAF1,25} (Static Module)",3.26118198926356,-0.925712475391327,13.8051377767911,1.98600504394281e-27,9.67031686781385e-27,51.2029140204967
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",-2.92671089554238,-0.516732379403505,-13.7657952070407,2.4848418833278e-27,1.20069077263091e-26,50.9786592499672
"Electron Transport Chain (Wikipathways)",2.34242875451428,0.0841836891483816,13.4795292927801,1.27331803411607e-26,5.84065446083677e-26,49.3435742505902
"Graft-versus-host disease (KEGG)",2.09809233075741,-0.587036326137687,13.4443680627364,1.55696203220131e-26,6.98976571903141e-26,49.1423510489718
"Regulatory RNA pathways (Reactome)",2.05080635930473,-0.0744654307595508,13.2620594142253,4.42310181935508e-26,1.86654896776784e-25,48.0977360159012
"{SFPQ,10} (Static Module)",2.32087708409401,-0.533974921768805,12.4012214161334,6.2860631603985e-24,2.36849879793586e-23,43.1405523841646
"Oxidative phosphorylation (Wikipathways)",2.55706879348167,0.0822349895762565,12.3825153290629,7.0037524025053e-24,2.62329897679636e-23,43.0324685078903
"Osteoblast Signaling (Wikipathways)",-2.03029714852132,-0.607915788434188,-12.2266907137463,1.72454027049964e-23,6.34670925131554e-23,42.1316658978732
"Signaling by Wnt (Reactome)",2.02403049295542,0.533465201449312,11.9635305189168,7.91356975326408e-23,2.79848584012076e-22,40.6088465153958
"{CYCS,35} (Static Module)",2.37868581521525,0.0834596700872933,11.5541583336777,8.49344085286159e-22,2.74303472441907e-21,38.2375945248007
"{NDUFS8,49} (Static Module)",2.54353341986953,0.142019420002569,11.4106521101028,1.95260329459863e-21,6.21104465065794e-21,37.4061089647123
"{HSP90B1,11} (Static Module)",2.99919939613959,-0.148805505253391,11.3263051430194,3.18508665002225e-21,9.9809893537826e-21,36.9174269128699
"{INS,35} (Static Module)",2.58284115388693,-0.123015728848805,11.2178783364559,5.97434383605094e-21,1.82693702812572e-20,36.2893194479101
"{KCNB1,10} (Static Module)",-2.28888012969362,-0.802671829802707,-10.4815706406214,4.25802894246852e-19,1.18216329850113e-18,32.0311954989437
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (Reactome)",2.32473126971738,0.286308585190707,10.4337424923022,5.6146186504875e-19,1.53855134448424e-18,31.7553265138916
