"","x"
"Fatty acid biosynthesis (KEGG)",1
"Ubiquinone and other terpenoid-quinone biosynthesis (KEGG)",1
"Vitamin B6 metabolism (KEGG)",1
"DNA replication (KEGG)",1
"Non-homologous end-joining (KEGG)",1
"Serotonin Transporter Activity (Wikipathways)",1
"Th1/Th2 (Wikipathways)",2
"Cell cycle (Wikipathways)",1
"IL-1 Signaling Pathway (Wikipathways)",3
"Cholesterol Biosynthesis (Wikipathways)",1
"Glucocorticoid &amp; Mineralcorticoid Metabolism (Wikipathways)",2
"Non-homologous end joining (Wikipathways)",1
"DNA Replication (Wikipathways)",1
"Mismatch repair (Wikipathways)",1
"Complement Activation, Classical Pathway (Wikipathways)",4
"Heme Biosynthesis (Wikipathways)",1
"Benzo(a)pyrene metabolism (Wikipathways)",1
"Aflatoxin B1 metabolism (Wikipathways)",1
"Metabolism of porphyrins (Reactome)",1
"IL-3 down reg. targets (Netpath)",1
"{ASH2L,391} (Static Module)",4
"{BCLAF1,25} (Static Module)",3
"{BRCA1,28} (Static Module)",1
"{CD4,14} (Static Module)",3
"{FCGR2B,50} (Static Module)",4
"{HLA-A,53} (Static Module)",1
"{HSP90B1,11} (Static Module)",3
"{MLH1,20} (Static Module)",1
"{RAD21,11} (Static Module)",1
"{RAD51,13} (Static Module)",4
"{ROCK1,10} (Static Module)",1
